PID,USER,%CPU,%MEM,COMMAND
1,root,0.0,0.2,"/sbin/init"
2,root,0.0,0.0,"/init"
7,root,0.0,0.0,"plan9"
52,root,0.0,0.3,"/usr/lib/systemd/systemd-journald"
97,root,0.0,0.1,"/usr/lib/systemd/systemd-udevd"
155,systemd+,0.0,0.2,"/usr/lib/systemd/systemd-resolved"
156,systemd+,0.0,0.1,"/usr/lib/systemd/systemd-timesyncd"
162,root,0.0,0.0,"/usr/sbin/cron"
163,message+,0.0,0.1,"@dbus-daemon"
173,root,0.0,0.1,"/usr/lib/systemd/systemd-logind"
176,root,0.0,0.4,"/usr/libexec/wsl-pro-service"
186,root,0.0,0.0,"/sbin/agetty"
1632,pc,0.0,0.0,"awk"
